seen_date,state,city,shape,summary,duration,posted_date
2015-07-28T22:15:00,WA,Kirkland,light,"Quick color changing, blinking object seen flying in Kirkland.",1 minutes,2015-07-31T00:00:00
2015-07-28T19:57:00,TX,Seabrook,formation,"Witnessed 15 Flame Orbs in Seabrook, Texas.",5 minutes,2015-07-31T00:00:00
2015-08-01T22:15:00,MD,Gamrbrills,light,Large mass of blinking lights that splits into 2 and moves in different directions.,2 minutes,2015-08-06T00:00:00
2015-08-01T22:30:00,NC,Franklin,fireball,"Slow moving fireball, with no sound, in North Carolina.",~30 seconds,2015-08-06T00:00:00
2015-08-01T22:30:00,WV,Barboursville,triangle,"Orange triangular shaped object hovering in the sky over our Beechfork State Park campgound, Barboursville, WV.",15 minutes,2015-08-06T00:00:00
2015-08-01T22:45:00,OH,Powell,cone,Very large orange/red circle with conicle rear; Appeared to have a tail/trail or be on fair at the rear.,1-2 minutes,2015-08-06T00:00:00
2015-08-01T23:00:00,NY,Hicksville,formation,Invasion of numerous bright orange/yellow lights across sky.,7 minutes,2015-08-06T00:00:00
2015-08-01T23:00:00,NY,Mastic Beach,light,"1 Greenish changing to Red light moved slowly at first then swirled around once rapidly only to disappear after 2 min., reappears.",2 minutes,2015-08-06T00:00:00
2015-08-01T23:30:00,PA,Glenmoore,unknown,4 red light in sky over Glenmoore Pa. 8/1/15  at 11:30 PM.,60 seconds,2015-08-06T00:00:00
2000-09-12T07:50:00,WA,Gold Bar,triangle,"Strange ""V"" formation in morning sky over the Skykomish Valley.",10min,2000-09-17T00:00:00
2015-08-02T00:00:00,MO,Lees Summit,triangle,Triangle object seen flying over Lees Summit.,5 minutes,2015-08-06T00:00:00
2015-08-02T00:13:00,TX,Lewisville,circle,"I saw a star like object flickering strangely. I got up and saw it was rapidly flashing red green orange white blue, no real pattern i.",30 minutes,2015-08-06T00:00:00
2015-08-02T01:10:00,NV,Reno,circle,"I saw a bright white light shooting across the sky, which at first I thought was a shooting star. Then milliseconds later I saw an obje",Seconds,2015-08-06T00:00:00
2015-08-02T01:30:00,NV,Reno,unknown,"2 women are frightened by a very loud low flying object, while in their hotel room, watching a lightening storm.",1 minute,2015-08-06T00:00:00
2015-07-29T02:08:00,,Hinckley (UK/England),circle,A bright white circular object moving rapidly across the sky.,5 minutes,2015-07-31T00:00:00
2015-07-29T13:30:00,CA,Chula Vista,disk,Silver disc object over Mexican airspace,2 minutes,2015-07-31T00:00:00
2015-07-29T13:32:00,IA,Waterloo,sphere,Looked like 15-16 spheres which had translucent colors.  Rotated around each each other slowly then disappeared; reappeared.,1 minute,2015-07-31T00:00:00
2015-07-29T20:27:00,CA,Ramona,light,"I heard a pulsating sound, thought, ""That's a weird sounding helicopter.""  Looked up and saw a jet following a light.",1 minute,2015-07-31T00:00:00
